????-????-???? | 2A6FY-BR577-H0DD3-RIK2Z
****-****-**** | 25QPM-GW244-27RJW-ZCN06
%%%%-%%%%-%%%% | Z6KEC-14OXE-TEYJL-KFR88
%%%%-%%%%-%%%% | OHEYI-1ZTIS-YG73U-PED19
????-????-???? | VA64T-NNLR6-K6O9F-JWCQY
%%%%-%%%%-%%%% | VFAKR-PQ58M-N91U7-HR8L8
****-****-**** | QDGJR-DZRJH-QIZC1-M2QFW
????-????-???? | 2J63V-G88MK-LMZYD-HK7XM
????-####-%%%% | J0ZPX-MIM27-JHS08-HTDWG
????-####-%%%% | 5NJCF-14BMG-JHQ20-0S5ZI
%%%%-%%%%-%%%% | 3SILS-1BL3V-GMGZF-U1QHV
????-????-???? | 40O31-OCTVF-06F80-PAZZ0
####-####-#### | NWSME-N212X-E8ZW7-SMCBV
????-????-???? | TUZW3-4D6EJ-BUX3M-5CPG1
****-****-**** | IHG4S-IZ73I-9K7U8-3D57Z
????-????-???? | VT0NE-56C6Q-IFM3M-JJEU6
****-****-**** | TDKOU-W42MV-DC8QJ-XUYVA
####-####-#### | C966H-6TBON-C52YR-670MW
%%%%-%%%%-%%%% | 4JKLV-5BA75-RSUEQ-AU275
####-####-#### | 9RTIH-696FN-6KM15-AM4OU
****-****-**** | 15JNK-TGQWC-S9SAZ-OUJCM
????-####-%%%% | SC6LR-GZGG6-R811Z-FQFDF
%%%%-%%%%-%%%% | PMEXF-PVUOI-0096K-CMCQF
%%%%-%%%%-%%%% | YNR7Q-D3NB9-M96AH-0NUA5
****-****-**** | Z3TG0-LGJWO-O4BK2-RVRU6
????-????-???? | 8O6ZF-VFIK3-L92M4-DO4MU
****-****-**** | 22MBE-MZ2CR-RXDFI-PXJOO
????-####-%%%% | SXZK2-VE74U-H6CAS-SOTAH
####-####-#### | PFW9E-HPJK4-MHTQJ-K00WF
????-####-%%%% | WF36L-YTKYQ-OSQK7-CAXOO
####-####-#### | C6THR-BNUJ3-FLETM-H53HI
????-????-???? | ND21L-YHL21-ZTOLH-23Q25
####-####-#### | OESOI-F6S84-LS5NY-B2UR4
####-####-#### | OT6LN-U9END-4B4H5-1UF2D
????-####-%%%% | 4UKYW-52NVC-8LK5W-24REW
####-####-#### | CS5Z1-ZHDZD-RQUV1-ILBQV
%%%%-%%%%-%%%% | F5R6U-G99WJ-I9PGQ-S9ULE
%%%%-%%%%-%%%% | KFTVQ-7IHC2-J9ETE-ML1HV
????-####-%%%% | VWE1K-70KL3-X23JJ-67D9P
****-****-**** | TJIB9-I9TGH-NF69H-GSE0X
????-????-???? | TW40J-8WRZD-7K1C9-78RX2
####-####-#### | YIGTE-FX6EW-C91N3-VW14Q
####-####-#### | XFX6D-70AVD-4UNZ5-H1EZI
####-####-#### | BZLWZ-8RYT2-AMP5N-0WEPN
????-????-???? | EQSS8-4D97K-IYZPV-1CCUX
????-????-???? | IXN0S-ZRS8W-7K9DD-475X5
????-????-???? | Q20LE-4YUG2-VVK8E-G75QH
####-####-#### | H18BD-J6S2P-B3ARP-8JUPL
####-####-#### | G5S9I-L3K8R-YZ8KJ-HDD82
????-####-%%%% | SHMGN-2IZED-TZTH0-3AHHW
****-****-**** | YYKNC-146MT-Q9Y5C-32X04
####-####-#### | QTR1F-BAAEA-HJOK5-XAVH1
????-####-%%%% | ZCKBT-3BMZX-ZZKWZ-U6NI9
%%%%-%%%%-%%%% | 4V4DQ-AE2OW-Q6TP6-UFP4E
????-####-%%%% | JV88N-6EHK8-CD8WF-409A6
????-????-???? | SZBH9-YXVF1-9O0KT-W1Z2F
####-####-#### | G7F1W-24D7X-781G4-9E19D
????-####-%%%% | UIIKT-Y669P-7FYNU-UTC16
####-####-#### | B554H-K6R8P-FCELQ-AM3G6
????-####-%%%% | 8I8VC-VC8K4-678WR-5RPSN
####-####-#### | KJJGM-YGL4D-H432Q-98P0V
####-####-#### | BJB8R-7WHW9-Z3F6A-BCFSF
####-####-#### | Y21Z4-4N2WN-J23VC-JIUT7
????-####-%%%% | 180II-PRUX5-7A2J4-OVAPH
%%%%-%%%%-%%%% | YTGKQ-P469W-XHVII-EQJ7V
????-####-%%%% | J9VSD-611TO-ZYM14-NF0OV
####-####-#### | BTA91-MSJFP-8Z95N-3Y07J
%%%%-%%%%-%%%% | NP1EM-RP19I-M5TSY-5DCI9
????-####-%%%% | SZ153-LZOJM-TI4M4-79909
????-####-%%%% | 689BQ-GS4ST-HQC9C-F3V22
????-####-%%%% | KZAMH-H6YNH-KXNUI-XATDP
????-????-???? | KL14L-TKWHG-I2AKQ-IWIXF
****-****-**** | DBND2-7P9K6-02PSS-Q4QJJ
????-####-%%%% | W06EU-IMKJC-RW3HE-ZHYCV
????-????-???? | O9Z1L-PQIEI-R082G-DFZUV
????-????-???? | BN4IJ-OPCAR-1DUV4-KOYQM
####-####-#### | ZRXXY-F9YG1-FKZGD-TOPIH
%%%%-%%%%-%%%% | V2II3-IGYAC-L357N-LYMGU
????-####-%%%% | PPLSY-VG8PJ-LA64Q-2Q33P
????-????-???? | X38NI-6HYJV-B94GF-720YY
####-####-#### | BT3GQ-T3QW6-YJEIU-STPHG
????-????-???? | A7A4C-O6SIZ-W19MS-HE4FL
****-****-**** | QKVXO-RHKOH-HHAWI-Y2VPG
%%%%-%%%%-%%%% | ZOO0X-WSVWK-JRA8U-TQJSG
????-????-???? | SPRUG-NVRNC-9C7QB-N5G69
****-****-**** | RD6UV-MVKWD-BKVAL-ER4OR
????-????-???? | CTBUE-NUC29-Y5XX9-Q6YNB
%%%%-%%%%-%%%% | 48W1Q-G0FDG-3L21U-AOW78
????-####-%%%% | Z2S9P-4WF2K-FYGHI-3YV35
####-####-#### | Y9YW9-PUT1C-P985Q-1VIO9
????-####-%%%% | S36LE-1RBV2-XITG9-VLIQE
%%%%-%%%%-%%%% | LSS8K-GQGWN-KUXN0-QCM4K
%%%%-%%%%-%%%% | M9GX6-3221J-52KQT-KXOS7
****-****-**** | SEIDH-CTMLE-OVLGC-E9NQI
%%%%-%%%%-%%%% | J8N3V-HK816-9557R-SJ4M9
####-####-#### | P9T5M-M8UY9-A2TO1-5C59X
????-####-%%%% | 9PL3Y-D4VWJ-I17AI-R80FY
????-####-%%%% | K9L8D-R0IZ7-LCRR6-DJGHM
****-****-**** | AFLP9-3ZWL1-SVWGD-JSH6T
####-####-#### | AAJCJ-7J1KV-6P221-JQXU1
%%%%-%%%%-%%%% | 23AF3-NZP00-2VWVH-CBO53
####-####-#### | ZG4B5-MD2GV-S68JD-QM70V
####-####-#### | ZATB7-7BCUL-C2SKL-Z8M2E
####-####-#### | RWMSW-JXI8A-8MZQG-EO9UH
????-####-%%%% | X6OQF-AVMML-A5601-5HRMX
????-####-%%%% | S0W6Y-PLAO0-HXT0K-P7I4B
####-####-#### | IC8DO-PO1K9-XH3R0-G5MFP
%%%%-%%%%-%%%% | HCELY-CGXUE-WL9SO-4WEUE
####-####-#### | EPVC3-YYIAC-FVIAT-NTVU3
????-????-???? | APQAW-SEP1H-96GYS-HV2D7
####-####-#### | 20PIT-L5J9G-6LPVP-3JNJD
????-????-???? | YX1KB-7CBBE-NRUB9-PEJZK
####-####-#### | F5Q8W-3HWHN-QNG1T-ZYP1A
????-????-???? | QG8WM-696M3-LJ8GI-LRKR8
????-####-%%%% | WDXPA-YMY4V-BT0HJ-9P889
????-####-%%%% | WUPO9-M8YC0-L4XDW-FX0MY
****-****-**** | 8OL3T-8KCNY-I09MZ-IOPR6
????-####-%%%% | MITDS-W41GQ-FZIZ2-QHY11
####-####-#### | A0O1X-VQ4QB-BSEK4-8PR11
####-####-#### | O9NE1-XJ7YL-9LSL3-3P98P
%%%%-%%%%-%%%% | 1K4NJ-ESB8U-EWPEB-04FWC
????-####-%%%% | N39AE-Y2ZCW-B3J5O-HKXNC
%%%%-%%%%-%%%% | 56TGW-C82FO-8BCZX-P4RFE
????-####-%%%% | WRCB3-0J0SJ-8LYQV-R9K50
????-####-%%%% | OBP2F-P6227-D845D-7VRN6
????-####-%%%% | 0FDEI-PDKEY-DYX99-X00X4
****-****-**** | QVQLS-ODTES-8S2ZC-Z8FRG
****-****-**** | KMIMZ-KYTQX-IMPQP-R9214
????-????-???? | G5VSQ-JN7KY-47710-OXBNE
????-####-%%%% | 7Y3XG-U5EGR-CL3GC-56XP6
????-####-%%%% | 3YV0E-AUSCD-P5AG0-9AYBH
%%%%-%%%%-%%%% | AW92M-ASZ0W-3Q01L-30DSJ
????-####-%%%% | MDIBV-JZZXV-JJ5ES-H3BMY
****-****-**** | PVKLT-8JTDU-W69I2-J6HTQ
????-####-%%%% | YG46U-2C3FX-76M11-9NLCK
%%%%-%%%%-%%%% | 3M5EQ-WX2C0-QFOQR-14KS7
####-####-#### | Q8S9Q-H4KF6-WBPL8-5Q1QR
%%%%-%%%%-%%%% | T4CXD-WK0I7-4GQRG-0MVUZ
